""	"yr"	"individ_dbid"	"cohort"	"prev_fall"	"spring"	"fall"	"success"	"age"	"summergain"	"winterloss"	"max_snow"	"winter_dens"	"summer_dens"	"spr"	"max"
"1"	2003	5024	2001	54.8	58.6	64.8	1	2	6.2	3.8	1522.037	1.076086957	4.192307692	172.42	0.3532
"2"	2003	5037	1999	70.2	77.2	76.2	1	4	-1	7	1522.037	1.076086957	4.192307692	172.42	0.3532
"3"	2003	5046	2000	61	69.8	73.2	0	3	3.40000000000001	8.8	1522.037	1.076086957	4.192307692	172.42	0.3532
"4"	2003	5075	2001	58.6	54.6	72	0	2	17.4	-4	1522.037	1.076086957	4.192307692	172.42	0.3532
"5"	2003	5080	2000	58.4	57.4	58	1	3	0.600000000000001	-1	1522.037	1.076086957	4.192307692	172.42	0.3532
"6"	2003	5094	1999	67.2	70.8	67.2	1	4	-3.59999999999999	3.59999999999999	1522.037	1.076086957	4.192307692	172.42	0.3532
"7"	2003	5097	1999	72	79.6	72.6	1	4	-7	7.59999999999999	1522.037	1.076086957	4.192307692	172.42	0.3532
"8"	2003	5103	1999	70.6	70.6	68.8	1	4	-1.8	0	1522.037	1.076086957	4.192307692	172.42	0.3532
"9"	2003	5104	2001	72.6	69.8	75	1	2	5.2	-2.8	1522.037	1.076086957	4.192307692	172.42	0.3532
"10"	2003	5106	2001	64	67	69.8	1	2	2.8	3	1522.037	1.076086957	4.192307692	172.42	0.3532
"11"	2003	5108	1999	67	71.6	73.2	1	4	1.60000000000001	4.59999999999999	1522.037	1.076086957	4.192307692	172.42	0.3532
"12"	2003	5116	2000	59.8	65.4	60.8	1	3	-4.60000000000001	5.60000000000001	1522.037	1.076086957	4.192307692	172.42	0.3532
"13"	2003	5118	1999	74	78.4	77.4	1	4	-1	4.40000000000001	1522.037	1.076086957	4.192307692	172.42	0.3532
"14"	2003	5119	2001	69.8	69.6	64	1	2	-5.59999999999999	-0.200000000000003	1522.037	1.076086957	4.192307692	172.42	0.3532
"15"	2003	5136	2000	63.6	68.8	68.2	1	3	-0.599999999999994	5.2	1522.037	1.076086957	4.192307692	172.42	0.3532
"16"	2003	5145	1999	70.6	70.6	70.6	1	4	0	0	1522.037	1.076086957	4.192307692	172.42	0.3532
"17"	2003	5149	1999	67.4	70.2	70.8	1	4	0.599999999999994	2.8	1522.037	1.076086957	4.192307692	172.42	0.3532
"18"	2003	5167	1999	75	79.4	74	1	4	-5.40000000000001	4.40000000000001	1522.037	1.076086957	4.192307692	172.42	0.3532
"19"	2003	5170	2000	64.2	64.4	66.4	1	3	2	0.200000000000003	1522.037	1.076086957	4.192307692	172.42	0.3532
"20"	2003	5171	1999	63.8	65.6	66.2	0	4	0.600000000000009	1.8	1522.037	1.076086957	4.192307692	172.42	0.3532
"21"	2003	5294	1999	70.2	71	72	1	4	1	0.799999999999997	1522.037	1.076086957	4.192307692	172.42	0.3532
"22"	2004	5017	2000	69.2	74	75.2	1	4	1.2	4.8	1500.604	1.253623188	4.94017094	169.64	0.3464
"23"	2004	5024	2001	64.8	68.4	72.4	1	3	4	3.60000000000001	1500.604	1.253623188	4.94017094	169.64	0.3464
"24"	2004	5030	1999	79	78.8	69.5	1	5	-9.3	-0.200000000000003	1500.604	1.253623188	4.94017094	169.64	0.3464
"25"	2004	5037	1999	76.2	81.2	75.6	1	5	-5.60000000000001	5	1500.604	1.253623188	4.94017094	169.64	0.3464
"26"	2004	5040	1999	78.6	79	78.8	1	5	-0.200000000000003	0.400000000000006	1500.604	1.253623188	4.94017094	169.64	0.3464
"27"	2004	5046	2000	73.2	77.6	73	1	4	-4.59999999999999	4.39999999999999	1500.604	1.253623188	4.94017094	169.64	0.3464
"28"	2004	5050	1999	71.8	71.8	68	1	5	-3.8	0	1500.604	1.253623188	4.94017094	169.64	0.3464
"29"	2004	5075	2001	72	69.4	75.2	1	3	5.8	-2.59999999999999	1500.604	1.253623188	4.94017094	169.64	0.3464
"30"	2004	5078	2002	50.8	52.2	59.6	1	2	7.4	1.40000000000001	1500.604	1.253623188	4.94017094	169.64	0.3464
"31"	2004	5080	2000	58	66	63.6	1	4	-2.4	8	1500.604	1.253623188	4.94017094	169.64	0.3464
"32"	2004	5083	2000	69.6	77.2	79.2	1	4	2	7.60000000000001	1500.604	1.253623188	4.94017094	169.64	0.3464
"33"	2004	5086	2000	74.6	86.4	82	1	4	-4.40000000000001	11.8	1500.604	1.253623188	4.94017094	169.64	0.3464
"34"	2004	5087	2000	58.4	62	63.6	1	4	1.6	3.6	1500.604	1.253623188	4.94017094	169.64	0.3464
"35"	2004	5091	2002	59.8	64	65	1	2	1	4.2	1500.604	1.253623188	4.94017094	169.64	0.3464
"36"	2004	5093	2002	59	61	69	1	2	8	2	1500.604	1.253623188	4.94017094	169.64	0.3464
"37"	2004	5097	1999	72.6	78.4	72.8	1	5	-5.60000000000001	5.80000000000001	1500.604	1.253623188	4.94017094	169.64	0.3464
"38"	2004	5100	2002	70.8	73.2	76	1	2	2.8	2.40000000000001	1500.604	1.253623188	4.94017094	169.64	0.3464
